,Kingdom,Phylum,Class,Subclass,Order,Family,Genus,Species,8,9,10
Deltocyathus parvulus,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Deltocyathidae,Deltocyathus,Deltocyathus parvulus,,,
Deltocyathus taiwanicus,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Deltocyathidae,Deltocyathus,Deltocyathus taiwanicus,,,
Caryophyllia (Caryophyllia) kellerae,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Caryophyllia,Caryophyllia (Caryophyllia),Caryophyllia (Caryophyllia) kellerae,,
Caryophyllia (Caryophyllia) huinayensis,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Caryophyllia,Caryophyllia (Caryophyllia),Caryophyllia (Caryophyllia) huinayensis,,
Caryophyllia (Caryophyllia) inornata,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Caryophyllia,Caryophyllia (Caryophyllia),Caryophyllia (Caryophyllia) inornata,,
Caryophyllia (Caryophyllia) oblonga,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Caryophyllia,Caryophyllia (Caryophyllia),Caryophyllia (Caryophyllia) oblonga,,
Deltocyathus stella,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Deltocyathidae,Deltocyathus,Deltocyathus stella,,,
Deltocyathus suluensis,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Deltocyathidae,Deltocyathus,Deltocyathus suluensis,,,
Dendrophyllia alcocki,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Dendrophylliidae,Dendrophyllia,Dendrophyllia alcocki,,,
Crispatotrochus cornu,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Crispatotrochus,Crispatotrochus cornu,,,
Dendrophyllia boschmai,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Dendrophylliidae,Dendrophyllia,Dendrophyllia boschmai,,,
Dendrophyllia cladonia,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Dendrophylliidae,Dendrophyllia,Dendrophyllia cladonia,,,
Dendrophyllia cornigera,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Dendrophylliidae,Dendrophyllia,Dendrophyllia cornigera,,,
Dendrophyllia dilatata,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Dendrophylliidae,Dendrophyllia,Dendrophyllia dilatata,,,
Dendrophyllia indica,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Dendrophylliidae,Dendrophyllia,Dendrophyllia indica,,,
Dendrophyllia ramea,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Dendrophylliidae,Dendrophyllia,Dendrophyllia ramea,,,
Caryophyllia (Caryophyllia) paradoxus,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Caryophyllia,Caryophyllia (Caryophyllia),Caryophyllia (Caryophyllia) paradoxus,,
Caryophyllia (Caryophyllia) octonaria,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Caryophyllia,Caryophyllia (Caryophyllia),Caryophyllia (Caryophyllia) octonaria,,
Deltocyathus varians,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Deltocyathidae,Deltocyathus,Deltocyathus varians,,,
Deltocyathus vaughani,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Deltocyathidae,Deltocyathus,Deltocyathus vaughani,,,
Dendrophyllia ijimai,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Dendrophylliidae,Dendrophyllia,Dendrophyllia ijimai,,,
Caryophyllia (Caryophyllia) cornulum,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Caryophyllia,Caryophyllia (Caryophyllia),Caryophyllia (Caryophyllia) cornulum,,
Enallopsammia pusilla,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Dendrophylliidae,Enallopsammia,Enallopsammia pusilla,,,
Endopachys bulbosa,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Dendrophylliidae,Endopachys,Endopachys bulbosa,,,
Caryophyllia (Caryophyllia) eltaninae,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Caryophyllia,Caryophyllia (Caryophyllia),Caryophyllia (Caryophyllia) eltaninae,,
Dasmosmilia variegata,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Dasmosmilia,Dasmosmilia variegata,,,
Gardineria paradoxa,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Gardineriidae,Gardineria,Gardineria paradoxa,,,
Caryophyllia (Caryophyllia) barbadensis,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Caryophyllia,Caryophyllia (Caryophyllia),Caryophyllia (Caryophyllia) barbadensis,,
Clavulariidae,Animalia,Cnidaria,Anthozoa,Octocorallia,Alcyonacea,Stolonifera,Clavulariidae,,,,
Clavularia grandiflora,Animalia,Cnidaria,Anthozoa,Octocorallia,Alcyonacea,Stolonifera,Clavulariidae,Clavularia,Clavularia grandiflora,,
Plakina tanaga,Animalia,Porifera,Homoscleromorpha,Homosclerophorida,Plakinidae,Plakina,Plakina tanaga,,,,
Oscarella lobularis,Animalia,Porifera,Homoscleromorpha,Homosclerophorida,Oscarellidae,Oscarella,Oscarella lobularis,,,,
Plakina bioxea,Animalia,Porifera,Homoscleromorpha,Homosclerophorida,Plakinidae,Plakina,Plakina bioxea,,,,
Dasmosmilia lymani,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Dasmosmilia,Dasmosmilia lymani,,,
Telestula corrugata,Animalia,Cnidaria,Anthozoa,Octocorallia,Alcyonacea,Stolonifera,Clavulariidae,Telestula,Telestula corrugata,,
Alcyonacea,Animalia,Cnidaria,Anthozoa,Octocorallia,Alcyonacea,,,,,,
Alcyoniina,Animalia,Cnidaria,Anthozoa,Octocorallia,Alcyonacea,Alcyoniina,,,,,
Bathyalcyon robustum,Animalia,Cnidaria,Anthozoa,Octocorallia,Alcyonacea,Alcyoniina,Alcyoniidae,Bathyalcyon,Bathyalcyon robustum,,
Nephtheidae,Animalia,Cnidaria,Anthozoa,Octocorallia,Alcyonacea,Alcyoniina,Nephtheidae,,,,
Pseudodrifa nigra,Animalia,Cnidaria,Anthozoa,Octocorallia,Alcyonacea,Alcyoniina,Nephtheidae,Pseudodrifa,Pseudodrifa nigra,,
Telestula spiculicola,Animalia,Cnidaria,Anthozoa,Octocorallia,Alcyonacea,Stolonifera,Clavulariidae,Telestula,Telestula spiculicola,,
Clavularia modesta,Animalia,Cnidaria,Anthozoa,Octocorallia,Alcyonacea,Stolonifera,Clavulariidae,Clavularia,Clavularia modesta,,
Siphonogorgia collaris,Animalia,Cnidaria,Anthozoa,Octocorallia,Alcyonacea,Alcyoniina,Nidaliidae,Siphonogorgia,Siphonogorgia collaris,,
Nidalia occidentalis,Animalia,Cnidaria,Anthozoa,Octocorallia,Alcyonacea,Alcyoniina,Nidaliidae,Nidalia,Nidalia occidentalis,,
Gersemia fruticosa,Animalia,Cnidaria,Anthozoa,Octocorallia,Alcyonacea,Alcyoniina,Nephtheidae,Gersemia,Gersemia fruticosa,,
Bellonella molokaiensis,Animalia,Cnidaria,Anthozoa,Octocorallia,Alcyonacea,Alcyoniina,Alcyoniidae,Bellonella,Bellonella molokaiensis,,
Chironephthya agassizii,Animalia,Cnidaria,Anthozoa,Octocorallia,Alcyonacea,Alcyoniina,Nidaliidae,Chironephthya,Chironephthya agassizii,,
Stereonephthya portoricensis,Animalia,Cnidaria,Anthozoa,Octocorallia,Alcyonacea,Alcyoniina,Nephtheidae,Stereonephthya,Stereonephthya portoricensis,,
Nidalia rubripunctata,Animalia,Cnidaria,Anthozoa,Octocorallia,Alcyonacea,Alcyoniina,Nidaliidae,Nidalia,Nidalia rubripunctata,,
Gersemia juliepackardae,Animalia,Cnidaria,Anthozoa,Octocorallia,Alcyonacea,Alcyoniina,Nephtheidae,Gersemia,Gersemia juliepackardae,,
Telesto nelleae,Animalia,Cnidaria,Anthozoa,Octocorallia,Alcyonacea,Stolonifera,Clavulariidae,Telesto,Telesto nelleae,,
Stereotelesto corallina,Animalia,Cnidaria,Anthozoa,Octocorallia,Alcyonacea,Stolonifera,Clavulariidae,Stereotelesto,Stereotelesto corallina,,
Eleutherobia rubra,Animalia,Cnidaria,Anthozoa,Octocorallia,Alcyonacea,Alcyoniina,Alcyoniidae,Eleutherobia,Eleutherobia rubra,,
Chironephthya caribaea,Animalia,Cnidaria,Anthozoa,Octocorallia,Alcyonacea,Alcyoniina,Nidaliidae,Chironephthya,Chironephthya caribaea,,
Duva florida,Animalia,Cnidaria,Anthozoa,Octocorallia,Alcyonacea,Alcyoniina,Nephtheidae,Duva,Duva florida,,
Telesto smithi,Animalia,Cnidaria,Anthozoa,Octocorallia,Alcyonacea,Stolonifera,Clavulariidae,Telesto,Telesto smithi,,
Telestula tubaria,Animalia,Cnidaria,Anthozoa,Octocorallia,Alcyonacea,Stolonifera,Clavulariidae,Telestula,Telestula tubaria,,
Alcyonium digitatum,Animalia,Cnidaria,Anthozoa,Octocorallia,Alcyonacea,Alcyoniina,Alcyoniidae,Alcyonium,Alcyonium digitatum,,
Telesto sanguinea,Animalia,Cnidaria,Anthozoa,Octocorallia,Alcyonacea,Stolonifera,Clavulariidae,Telesto,Telesto sanguinea,,
Telesto fruticulosa,Animalia,Cnidaria,Anthozoa,Octocorallia,Alcyonacea,Stolonifera,Clavulariidae,Telesto,Telesto fruticulosa,,
Drifa glomerata,Animalia,Cnidaria,Anthozoa,Octocorallia,Alcyonacea,Alcyoniina,Nephtheidae,Drifa,Drifa glomerata,,
Carijoa operculata,Animalia,Cnidaria,Anthozoa,Octocorallia,Alcyonacea,Stolonifera,Clavulariidae,Carijoa,Carijoa operculata,,
Aquaumbridae,Animalia,Cnidaria,Anthozoa,Octocorallia,Alcyonacea,Alcyoniina,Aquaumbridae,,,,
Bellonella rubistella,Animalia,Cnidaria,Anthozoa,Octocorallia,Alcyonacea,Alcyoniina,Alcyoniidae,Bellonella,Bellonella rubistella,,
Telesto flavula,Animalia,Cnidaria,Anthozoa,Octocorallia,Alcyonacea,Stolonifera,Clavulariidae,Telesto,Telesto flavula,,
Alcyonium acaule,Animalia,Cnidaria,Anthozoa,Octocorallia,Alcyonacea,Alcyoniina,Alcyoniidae,Alcyonium,Alcyonium acaule,,
Clavularia armata,Animalia,Cnidaria,Anthozoa,Octocorallia,Alcyonacea,Stolonifera,Clavulariidae,Clavularia,Clavularia armata,,
Scleranthelia rugosa var. musiva,Animalia,Cnidaria,Anthozoa,Octocorallia,Alcyonacea,Stolonifera,Clavulariidae,Scleranthelia,Scleranthelia rugosa,Scleranthelia rugosa var. musiva,
Telestula septentrionalis,Animalia,Cnidaria,Anthozoa,Octocorallia,Alcyonacea,Stolonifera,Clavulariidae,Telestula,Telestula septentrionalis,,
Clavularia rudis,Animalia,Cnidaria,Anthozoa,Octocorallia,Alcyonacea,Stolonifera,Clavulariidae,Clavularia,Clavularia rudis,,
Nidalia dissidens,Animalia,Cnidaria,Anthozoa,Octocorallia,Alcyonacea,Alcyoniina,Nidaliidae,Nidalia,Nidalia dissidens,,
Sinularia abrubta,Animalia,Cnidaria,Anthozoa,Octocorallia,Alcyonacea,Alcyoniina,Alcyoniidae,Sinularia,Sinularia abrupta,,
Alcyoniidae,Animalia,Cnidaria,Anthozoa,Octocorallia,Alcyonacea,Alcyoniina,Alcyoniidae,,,,
Nidaliidae,Animalia,Cnidaria,Anthozoa,Octocorallia,Alcyonacea,Alcyoniina,Nidaliidae,,,,
Siphonogorgia agassizii,Animalia,Cnidaria,Anthozoa,Octocorallia,Alcyonacea,Alcyoniina,Nidaliidae,Siphonogorgia,Siphonogorgia agassizii,,
Sarcodictyon rugosum,Animalia,Cnidaria,Anthozoa,Octocorallia,Alcyonacea,Stolonifera,Clavulariidae,Sarcodictyon,Sarcodictyon rugosum,,
Telesto corallina,Animalia,Cnidaria,Anthozoa,Octocorallia,Alcyonacea,Stolonifera,Clavulariidae,Telesto,Telesto corallina,,
Paralcyonium spinulosum,Animalia,Cnidaria,Anthozoa,Octocorallia,Alcyonacea,Alcyoniina,Paralcyoniidae,Paralcyonium,Paralcyonium spinulosum,,
Telesto operculata,Animalia,Cnidaria,Anthozoa,Octocorallia,Alcyonacea,Stolonifera,Clavulariidae,Telesto,Telesto operculata,,
Nidalia deichmannae,Animalia,Cnidaria,Anthozoa,Octocorallia,Alcyonacea,Alcyoniina,Nidaliidae,Nidalia,Nidalia deichmannae,,
Capnella glomerata,Animalia,Cnidaria,Anthozoa,Octocorallia,Alcyonacea,Alcyoniina,Nephtheidae,Capnella,Capnella glomerata,,
Scleranthelia rugosa,Animalia,Cnidaria,Anthozoa,Octocorallia,Alcyonacea,Stolonifera,Clavulariidae,Scleranthelia,Scleranthelia rugosa,,
Telesto nuttingi,Animalia,Cnidaria,Anthozoa,Octocorallia,Alcyonacea,Stolonifera,Clavulariidae,Telesto,Telesto nuttingi,,
Telesto californica,Animalia,Cnidaria,Anthozoa,Octocorallia,Alcyonacea,Stolonifera,Clavulariidae,Telesto,Telesto californica,,
Leiopathes glaberrima,Animalia,Cnidaria,Anthozoa,Hexacorallia,Antipatharia,Leiopathidae,Leiopathes,Leiopathes glaberrima,,,
Halipteris willemoesi,Animalia,Cnidaria,Anthozoa,Octocorallia,Pennatulacea,Subsessiliflorae,Halipteridae,Halipteris,Halipteris willemoesi,,
Gersemia rubiformis,Animalia,Cnidaria,Anthozoa,Octocorallia,Alcyonacea,Alcyoniina,Nephtheidae,Gersemia,Gersemia rubiformis,,
Halipteris californica,Animalia,Cnidaria,Anthozoa,Octocorallia,Pennatulacea,Subsessiliflorae,Halipteridae,Halipteris,Halipteris californica,,
Pennatulidae,Animalia,Cnidaria,Anthozoa,Octocorallia,Pennatulacea,Subsessiliflorae,Pennatulidae,,,,
Kophobelemnon hispidum,Animalia,Cnidaria,Anthozoa,Octocorallia,Pennatulacea,Sessiliflorae,Kophobelemnidae,Kophobelemnon,Kophobelemnon hispidum,,
Virgularia presbytes,Animalia,Cnidaria,Anthozoa,Octocorallia,Pennatulacea,Subsessiliflorae,Virgulariidae,Virgularia,Virgularia presbytes,,
Distichoptilum gracile,Animalia,Cnidaria,Anthozoa,Octocorallia,Pennatulacea,Sessiliflorae,Protoptilidae,Distichoptilum,Distichoptilum gracile,,
Kophobelemnidae,Animalia,Cnidaria,Anthozoa,Octocorallia,Pennatulacea,Sessiliflorae,Kophobelemnidae,,,,
Anthoptilum grandiflorum,Animalia,Cnidaria,Anthozoa,Octocorallia,Pennatulacea,Sessiliflorae,Anthoptilidae,Anthoptilum,Anthoptilum grandiflorum,,
Pennatula grandis,Animalia,Cnidaria,Anthozoa,Octocorallia,Pennatulacea,Subsessiliflorae,Pennatulidae,Pennatula,Pennatula grandis,,
Calibelemnon symmetricum,Animalia,Cnidaria,Anthozoa,Octocorallia,Pennatulacea,Scleroptilidae,Calibelemnon,Calibelemnon symmetricum,,,
Halipteris finmarchica,Animalia,Cnidaria,Anthozoa,Octocorallia,Pennatulacea,Subsessiliflorae,Halipteridae,Halipteris,Halipteris finmarchica,,
Pennatula inflata,Animalia,Cnidaria,Anthozoa,Octocorallia,Pennatulacea,Subsessiliflorae,Pennatulidae,Pennatula,Pennatula inflata,,
Anthoptilum murrayi,Animalia,Cnidaria,Anthozoa,Octocorallia,Pennatulacea,Sessiliflorae,Anthoptilidae,Anthoptilum,Anthoptilum murrayi,,
Kophobelemnon stelliferum,Animalia,Cnidaria,Anthozoa,Octocorallia,Pennatulacea,Sessiliflorae,Kophobelemnidae,Kophobelemnon,Kophobelemnon stelliferum,,
Protoptilum carpenteri,Animalia,Cnidaria,Anthozoa,Octocorallia,Pennatulacea,Sessiliflorae,Protoptilidae,Protoptilum,Protoptilum carpenteri,,
Scleroptilum grandiflorum,Animalia,Cnidaria,Anthozoa,Octocorallia,Pennatulacea,Scleroptilidae,Scleroptilum,Scleroptilum grandiflorum,,,
Malacobelemnon daytoni,Animalia,Cnidaria,Anthozoa,Octocorallia,Pennatulacea,Sessiliflorae,Kophobelemnidae,Malacobelemnon,Malacobelemnon daytoni,,
Pennatula rubra,Animalia,Cnidaria,Anthozoa,Octocorallia,Pennatulacea,Subsessiliflorae,Pennatulidae,Pennatula,Pennatula rubra,,
Funiculinidae,Animalia,Cnidaria,Anthozoa,Octocorallia,Pennatulacea,Sessiliflorae,Funiculinidae,,,,
Virgularia agassizi,Animalia,Cnidaria,Anthozoa,Octocorallia,Pennatulacea,Subsessiliflorae,Virgulariidae,Virgularia,Virgularia agassizi,,
Pennatula phosphorea,Animalia,Cnidaria,Anthozoa,Octocorallia,Pennatulacea,Subsessiliflorae,Pennatulidae,Pennatula,Pennatula phosphorea,,
Virgularia bromleyi,Animalia,Cnidaria,Anthozoa,Octocorallia,Pennatulacea,Subsessiliflorae,Virgulariidae,Virgularia,Virgularia bromleyi,,
Pennatula pearceyi,Animalia,Cnidaria,Anthozoa,Octocorallia,Pennatulacea,Subsessiliflorae,Pennatulidae,Pennatula,Pennatula pearceyi,,
Virgularia abies,Animalia,Cnidaria,Anthozoa,Octocorallia,Pennatulacea,Subsessiliflorae,Virgulariidae,Virgularia,Virgularia abies,,
Virgularia gracilis,Animalia,Cnidaria,Anthozoa,Octocorallia,Pennatulacea,Subsessiliflorae,Virgulariidae,Virgularia,Virgularia gracilis,,
Virgularia glacialis,Animalia,Cnidaria,Anthozoa,Octocorallia,Pennatulacea,Subsessiliflorae,Virgulariidae,Virgularia,Virgularia glacialis,,
Stachyptilum superbum,Animalia,Cnidaria,Anthozoa,Octocorallia,Pennatulacea,Stachyptilidae,Stachyptilum,Stachyptilum superbum,,,
Umbellula huxleyi,Animalia,Cnidaria,Anthozoa,Octocorallia,Pennatulacea,Sessiliflorae,Umbellulidae,Umbellula,Umbellula huxleyi,,
Virgularia mirabilis,Animalia,Cnidaria,Anthozoa,Octocorallia,Pennatulacea,Subsessiliflorae,Virgulariidae,Virgularia,Virgularia mirabilis,,
Umbellula thomsoni,Animalia,Cnidaria,Anthozoa,Octocorallia,Pennatulacea,Sessiliflorae,Umbellulidae,Umbellula,Umbellula thomsoni,,
Umbellula spicata,Animalia,Cnidaria,Anthozoa,Octocorallia,Pennatulacea,Sessiliflorae,Umbellulidae,Umbellula,Umbellula spicata,,
Veretillum cynomorium,Animalia,Cnidaria,Anthozoa,Octocorallia,Pennatulacea,Sessiliflorae,Veretillidae,Veretillum,Veretillum cynomorium,,
Funiculina armata,Animalia,Cnidaria,Anthozoa,Octocorallia,Pennatulacea,Sessiliflorae,Funiculinidae,Funiculina,Funiculina armata,,
Halipteris africana,Animalia,Cnidaria,Anthozoa,Octocorallia,Pennatulacea,Subsessiliflorae,Halipteridae,Halipteris,Halipteris africana,,
Cavernulina darwini,Animalia,Cnidaria,Anthozoa,Octocorallia,Pennatulacea,Sessiliflorae,Veretillidae,Cavernulina,Cavernulina darwini,,
Scleroptilidae,Animalia,Cnidaria,Anthozoa,Octocorallia,Pennatulacea,Scleroptilidae,,,,,
Anthoptilidae,Animalia,Cnidaria,Anthozoa,Octocorallia,Pennatulacea,Sessiliflorae,Anthoptilidae,,,,
Umbellula encrinus,Animalia,Cnidaria,Anthozoa,Octocorallia,Pennatulacea,Sessiliflorae,Umbellulidae,Umbellula,Umbellula encrinus,,
Halipteris christii,Animalia,Cnidaria,Anthozoa,Octocorallia,Pennatulacea,Subsessiliflorae,Halipteridae,Halipteris,Halipteris christii,,
Acanthoptilum oligacis,Animalia,Cnidaria,Anthozoa,Octocorallia,Pennatulacea,Subsessiliflorae,Virgulariidae,Acanthoptilum,Acanthoptilum oligacis,,
Sclerobelemnon theseus,Animalia,Cnidaria,Anthozoa,Octocorallia,Pennatulacea,Sessiliflorae,Kophobelemnidae,Sclerobelemnon,Sclerobelemnon theseus,,
Gyrophyllum hirondellei,Animalia,Cnidaria,Anthozoa,Octocorallia,Pennatulacea,Subsessiliflorae,Pennatulidae,Gyrophyllum,Gyrophyllum hirondellei,,
Protoptilidae,Animalia,Cnidaria,Anthozoa,Octocorallia,Pennatulacea,Sessiliflorae,Protoptilidae,,,,
Umbellula durissima,Animalia,Cnidaria,Anthozoa,Octocorallia,Pennatulacea,Sessiliflorae,Umbellulidae,Umbellula,Umbellula durissima,,
Echinoptilum macintoshi,Animalia,Cnidaria,Anthozoa,Octocorallia,Pennatulacea,Echinoptilidae,Echinoptilum,Echinoptilum macintoshi,,,
Umbellulidae,Animalia,Cnidaria,Anthozoa,Octocorallia,Pennatulacea,Sessiliflorae,Umbellulidae,,,,
Virgulariidae,Animalia,Cnidaria,Anthozoa,Octocorallia,Pennatulacea,Subsessiliflorae,Virgulariidae,,,,
Renilla muelleri,Animalia,Cnidaria,Anthozoa,Octocorallia,Pennatulacea,Renillidae,Renilla,Renilla muelleri,,,
Renilla reniformis,Animalia,Cnidaria,Anthozoa,Octocorallia,Pennatulacea,Renillidae,Renilla,Renilla reniformis,,,
Renillidae,Animalia,Cnidaria,Anthozoa,Octocorallia,Pennatulacea,Renillidae,,,,,
Swiftia pacifica,Animalia,Cnidaria,Anthozoa,Octocorallia,Alcyonacea,Holaxonia,Plexauridae,Swiftia,Swiftia pacifica,,
Chromoplexaura marki,Animalia,Cnidaria,Anthozoa,Octocorallia,Alcyonacea,Holaxonia,Plexauridae,Chromoplexaura,Chromoplexaura marki,,
Leptogorgia chilensis,Animalia,Cnidaria,Anthozoa,Octocorallia,Alcyonacea,Holaxonia,Gorgoniidae,Leptogorgia,Leptogorgia chilensis,,
Corallium laauense,Animalia,Cnidaria,Anthozoa,Octocorallia,Alcyonacea,Scleraxonia,Coralliidae,Corallium,Corallium laauense,,
Eugorgia rubens,Animalia,Cnidaria,Anthozoa,Octocorallia,Alcyonacea,Holaxonia,Gorgoniidae,Eugorgia,Eugorgia rubens,,
Tethyidae,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Tethyida,Tethyidae,,,,,
Parastenella ramosa,Animalia,Cnidaria,Anthozoa,Octocorallia,Alcyonacea,Calcaxonia,Primnoidae,Parastenella,Parastenella ramosa,,
Plumarella longispina,Animalia,Cnidaria,Anthozoa,Octocorallia,Alcyonacea,Calcaxonia,Primnoidae,Plumarella,Plumarella longispina,,
Corallium niveum,Animalia,Cnidaria,Anthozoa,Octocorallia,Alcyonacea,Scleraxonia,Coralliidae,Corallium,Corallium niveum,,
Corallium bathyrubrum,Animalia,Cnidaria,Anthozoa,Octocorallia,Alcyonacea,Scleraxonia,Coralliidae,Corallium,Corallium bathyrubrum,,
Corallium regale,Animalia,Cnidaria,Anthozoa,Octocorallia,Alcyonacea,Scleraxonia,Coralliidae,Corallium,Corallium regale,,
Paracorallium tortuosum,Animalia,Cnidaria,Anthozoa,Octocorallia,Alcyonacea,Scleraxonia,Coralliidae,Paracorallium,Paracorallium tortuosum,,
Corallium ducale,Animalia,Cnidaria,Anthozoa,Octocorallia,Alcyonacea,Scleraxonia,Coralliidae,Corallium,Corallium ducale,,
Corallium abyssale,Animalia,Cnidaria,Anthozoa,Octocorallia,Alcyonacea,Scleraxonia,Coralliidae,Corallium,Corallium abyssale,,
Corallium kishinouyei,Animalia,Cnidaria,Anthozoa,Octocorallia,Alcyonacea,Scleraxonia,Coralliidae,Corallium,Corallium kishinouyei,,
Coralliidae,Animalia,Cnidaria,Anthozoa,Octocorallia,Alcyonacea,Scleraxonia,Coralliidae,,,,
Corallium porcellanum,Animalia,Cnidaria,Anthozoa,Octocorallia,Alcyonacea,Scleraxonia,Coralliidae,Corallium,Corallium porcellanum,,
Corallium boshuense,Animalia,Cnidaria,Anthozoa,Octocorallia,Alcyonacea,Scleraxonia,Coralliidae,Corallium,Corallium boshuense,,
Corallium reginae,Animalia,Cnidaria,Anthozoa,Octocorallia,Alcyonacea,Scleraxonia,Coralliidae,Corallium,Corallium reginae,,
Corallium niobe,Animalia,Cnidaria,Anthozoa,Octocorallia,Alcyonacea,Scleraxonia,Coralliidae,Corallium,Corallium niobe,,
Corallium carusrubrum,Animalia,Cnidaria,Anthozoa,Octocorallia,Alcyonacea,Scleraxonia,Coralliidae,Corallium,Corallium carusrubrum,,
Corallium sulcatum,Animalia,Cnidaria,Anthozoa,Octocorallia,Alcyonacea,Scleraxonia,Coralliidae,Corallium,Corallium sulcatum,,
Corallium taiwanicum,Animalia,Cnidaria,Anthozoa,Octocorallia,Alcyonacea,Scleraxonia,Coralliidae,Corallium,Corallium taiwanicum,,
Paracorallium nix,Animalia,Cnidaria,Anthozoa,Octocorallia,Alcyonacea,Scleraxonia,Coralliidae,Paracorallium,Paracorallium nix,,
Paracorallium thrinax,Animalia,Cnidaria,Anthozoa,Octocorallia,Alcyonacea,Scleraxonia,Coralliidae,Paracorallium,Paracorallium thrinax,,
Corallium bayeri,Animalia,Cnidaria,Anthozoa,Octocorallia,Alcyonacea,Scleraxonia,Coralliidae,Corallium,Corallium bayeri,,
Corallium imperiale,Animalia,Cnidaria,Anthozoa,Octocorallia,Alcyonacea,Scleraxonia,Coralliidae,Corallium,Corallium imperiale,,
Corallium secundum,Animalia,Cnidaria,Anthozoa,Octocorallia,Alcyonacea,Scleraxonia,Coralliidae,Corallium,Corallium secundum,,
Muricea pendula,Animalia,Cnidaria,Anthozoa,Octocorallia,Alcyonacea,Holaxonia,Plexauridae,Muricea,Muricea pendula,,
Paracyathus pulchellus,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Paracyathus,Paracyathus pulchellus,,,
Ptilosarcus gurneyi,Animalia,Cnidaria,Anthozoa,Octocorallia,Pennatulacea,Subsessiliflorae,Pennatulidae,Ptilosarcus,Ptilosarcus gurneyi,,
Adelogorgia phyllosclera,Animalia,Cnidaria,Anthozoa,Octocorallia,Alcyonacea,Holaxonia,Gorgoniidae,Adelogorgia,Adelogorgia phyllosclera,,
Tubastraea coccinea,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Dendrophylliidae,Tubastraea,Tubastraea coccinea,,,
Pseudoanthomastus pacificus,Animalia,Cnidaria,Anthozoa,Octocorallia,Alcyonacea,Alcyoniina,Alcyoniidae,Pseudoanthomastus,Pseudoanthomastus pacificus,,
Heteropolypus steenstrupi,Animalia,Cnidaria,Anthozoa,Octocorallia,Alcyonacea,Alcyoniina,Alcyoniidae,Heteropolypus,Heteropolypus steenstrupi,,
Heteropolypus japonicus,Animalia,Cnidaria,Anthozoa,Octocorallia,Alcyonacea,Alcyoniina,Alcyoniidae,Heteropolypus,Heteropolypus japonicus,,
Pseudoanthomastus fisheri,Animalia,Cnidaria,Anthozoa,Octocorallia,Alcyonacea,Alcyoniina,Alcyoniidae,Pseudoanthomastus,Pseudoanthomastus fisheri,,
Anthomastus granulosus,Animalia,Cnidaria,Anthozoa,Octocorallia,Alcyonacea,Alcyoniina,Alcyoniidae,Anthomastus,Anthomastus granulosus,,
Anthomastus grandiflorus,Animalia,Cnidaria,Anthozoa,Octocorallia,Alcyonacea,Alcyoniina,Alcyoniidae,Anthomastus,Anthomastus grandiflorus,,
Anthomastus agassizii,Animalia,Cnidaria,Anthozoa,Octocorallia,Alcyonacea,Alcyoniina,Alcyoniidae,Anthomastus,Anthomastus agassizii,,
