index,AphiaID,Kingdom,Phylum,Class,Subclass,Order,Family,Genus
Nephtheidae,146762,Animalia,Cnidaria,Anthozoa,Octocorallia,Alcyonacea,Alcyoniina,Nephtheidae
Aquaumbridae,701654,Animalia,Cnidaria,Anthozoa,Octocorallia,Alcyonacea,Alcyoniina,Aquaumbridae
Alcyoniidae,125269,Animalia,Cnidaria,Anthozoa,Octocorallia,Alcyonacea,Alcyoniina,Alcyoniidae
Nidaliidae,196169,Animalia,Cnidaria,Anthozoa,Octocorallia,Alcyonacea,Alcyoniina,Nidaliidae
Leiopathes glaberrima,103326,Animalia,Cnidaria,Anthozoa,Hexacorallia,Antipatharia,Leiopathidae,Leiopathes
Pennatulidae,128484,Animalia,Cnidaria,Anthozoa,Octocorallia,Pennatulacea,Subsessiliflorae,Pennatulidae
Kophobelemnidae,128483,Animalia,Cnidaria,Anthozoa,Octocorallia,Pennatulacea,Sessiliflorae,Kophobelemnidae
Calibelemnon symmetricum,288080,Animalia,Cnidaria,Anthozoa,Octocorallia,Pennatulacea,Scleroptilidae,Calibelemnon
Scleroptilum grandiflorum,183413,Animalia,Cnidaria,Anthozoa,Octocorallia,Pennatulacea,Scleroptilidae,Scleroptilum
Stachyptilum superbum,291109,Animalia,Cnidaria,Anthozoa,Octocorallia,Pennatulacea,Stachyptilidae,Stachyptilum
Funiculinidae,128481,Animalia,Cnidaria,Anthozoa,Octocorallia,Pennatulacea,Sessiliflorae,Funiculinidae
Subsessiliflorae,151539,Animalia,Cnidaria,Anthozoa,Octocorallia,Pennatulacea,Subsessiliflorae,
Scleroptilidae,182877,Animalia,Cnidaria,Anthozoa,Octocorallia,Pennatulacea,Scleroptilidae,
Anthoptilidae,128480,Animalia,Cnidaria,Anthozoa,Octocorallia,Pennatulacea,Sessiliflorae,Anthoptilidae
Halipteridae,128482,Animalia,Cnidaria,Anthozoa,Octocorallia,Pennatulacea,Subsessiliflorae,Halipteridae
Protoptilidae,128485,Animalia,Cnidaria,Anthozoa,Octocorallia,Pennatulacea,Sessiliflorae,Protoptilidae
Virgulariidae,128488,Animalia,Cnidaria,Anthozoa,Octocorallia,Pennatulacea,Subsessiliflorae,Virgulariidae
Umbellulidae,128486,Animalia,Cnidaria,Anthozoa,Octocorallia,Pennatulacea,Sessiliflorae,Umbellulidae
Echinoptilum macintoshi,287982,Animalia,Cnidaria,Anthozoa,Octocorallia,Pennatulacea,Echinoptilidae,Echinoptilum
Renilla muelleri,290962,Animalia,Cnidaria,Anthozoa,Octocorallia,Pennatulacea,Renillidae,Renilla
Renilla reniformis,290965,Animalia,Cnidaria,Anthozoa,Octocorallia,Pennatulacea,Renillidae,Renilla
Renillidae,266953,Animalia,Cnidaria,Anthozoa,Octocorallia,Pennatulacea,Renillidae,
Tethyidae,131677,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Tethyida,Tethyidae,
Coralliidae,125280,Animalia,Cnidaria,Anthozoa,Octocorallia,Alcyonacea,Scleraxonia,Coralliidae
Paracyathus pulchellus,135163,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Paracyathus
Tubastraea coccinea,291251,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Dendrophylliidae,Tubastraea
Iophon lamella,167407,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Poecilosclerida,Acarnidae,Iophon
Hexactinellida,22612,Animalia,Porifera,Hexactinellida,,,,
Epiphaxum micropora,289903,Animalia,Cnidaria,Anthozoa,Octocorallia,Helioporacea,Lithotelestidae,Epiphaxumʠ
Epiphaxum breve,289902,Animalia,Cnidaria,Anthozoa,Octocorallia,Helioporacea,Lithotelestidae,Epiphaxumʠ
Farrea occa,134391,Animalia,Porifera,Hexactinellida,Hexasterophora,Sceptrulophora,Farreidae,Farrea
Oculina varicosa,287102,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Oculinidae,Oculina
Phyllangia americana,346430,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Phyllangia
Spheciospongia confoederata,170531,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Clionaida,Clionaidae,Spheciospongia
Plexauridae,125277,Animalia,Cnidaria,Anthozoa,Octocorallia,Alcyonacea,Holaxonia,Plexauridae
Calcaxonia,411557,Animalia,Cnidaria,Anthozoa,Octocorallia,Alcyonacea,Calcaxonia,
Chrysogorgiidae,125273,Animalia,Cnidaria,Anthozoa,Octocorallia,Alcyonacea,Calcaxonia,Chrysogorgiidae
Gorgoniidae,125275,Animalia,Cnidaria,Anthozoa,Octocorallia,Alcyonacea,Holaxonia,Gorgoniidae
Keroeididae,196168,Animalia,Cnidaria,Anthozoa,Octocorallia,Alcyonacea,Holaxonia,Keroeididae
Briareidae,266946,Animalia,Cnidaria,Anthozoa,Octocorallia,Alcyonacea,Scleraxonia,Briareidae
Acanthogorgiidae,125272,Animalia,Cnidaria,Anthozoa,Octocorallia,Alcyonacea,Holaxonia,Acanthogorgiidae
Ellisellidae,125274,Animalia,Cnidaria,Anthozoa,Octocorallia,Alcyonacea,Calcaxonia,Ellisellidae
Aphrocallistes vastus,171632,Animalia,Porifera,Hexactinellida,Hexasterophora,Sceptrulophora,Aphrocallistidae,Aphrocallistes
Psilocalyx wilsoni,171808,Animalia,Porifera,Hexactinellida,Hexasterophora,Sceptrulophora,Tretodictyidae,Psilocalyx
Pheronematidae,131685,Animalia,Porifera,Hexactinellida,Amphidiscophora,Amphidiscosida,Pheronematidae,
Semperella schultzei,171595,Animalia,Porifera,Hexactinellida,Amphidiscophora,Amphidiscosida,Pheronematidae,Semperella
Chonelasmatinae,171658,Animalia,Porifera,Hexactinellida,Hexasterophora,Sceptrulophora,Euretidae,Chonelasmatinae
Euretinae,171685,Animalia,Porifera,Hexactinellida,Hexasterophora,Sceptrulophora,Euretidae,Euretinae
Farreidae,131689,Animalia,Porifera,Hexactinellida,Hexasterophora,Sceptrulophora,Farreidae,
Aphrocallistes beatrix,134380,Animalia,Porifera,Hexactinellida,Hexasterophora,Sceptrulophora,Aphrocallistidae,Aphrocallistes
Asceptrulum axialis,171732,Animalia,Porifera,Hexactinellida,Hexasterophora,Sceptrulophora,Farreidae,Asceptrulum
Farrea beringiana,171738,Animalia,Porifera,Hexactinellida,Hexasterophora,Sceptrulophora,Farreidae,Farrea
Poliopogon mendocino,171585,Animalia,Porifera,Hexactinellida,Amphidiscophora,Amphidiscosida,Pheronematidae,Poliopogon
Heterochone tenera,171639,Animalia,Porifera,Hexactinellida,Hexasterophora,Sceptrulophora,Aphrocallistidae,Heterochone
Rossellidae,131694,Animalia,Porifera,Hexactinellida,Hexasterophora,Lyssacinosida,Rossellidae,
Euplectellidae,131692,Animalia,Porifera,Hexactinellida,Hexasterophora,Lyssacinosida,Euplectellidae,
Hexasterophora,131590,Animalia,Porifera,Hexactinellida,Hexasterophora,,,
Tretodictyum montereyense,344896,Animalia,Porifera,Hexactinellida,Hexasterophora,Sceptrulophora,Tretodictyidae,Tretodictyum
Heterochone calyx,171636,Animalia,Porifera,Hexactinellida,Hexasterophora,Sceptrulophora,Aphrocallistidae,Heterochone
Acanthascinae,723592,Animalia,Porifera,Hexactinellida,Hexasterophora,Lyssacinosida,Rossellidae,Acanthascinae
Farrea convolvulus,171739,Animalia,Porifera,Hexactinellida,Hexasterophora,Sceptrulophora,Farreidae,Farrea
Lanuginellinae,171949,Animalia,Porifera,Hexactinellida,Hexasterophora,Lyssacinosida,Rossellidae,Lanuginellinae
Hexactinella ventilabrum,171805,Animalia,Porifera,Hexactinellida,Hexasterophora,Sceptrulophora,Tretodictyidae,Hexactinella
Tretodictyum tubulosum,134397,Animalia,Porifera,Hexactinellida,Hexasterophora,Sceptrulophora,Tretodictyidae,Tretodictyum
Leucopsacidae,131693,Animalia,Porifera,Hexactinellida,Hexasterophora,Lyssacinosida,Leucopsacidae,
Lyssacinosida,171834,Animalia,Porifera,Hexactinellida,Hexasterophora,Lyssacinosida,,
Farrea mexicana,171750,Animalia,Porifera,Hexactinellida,Hexasterophora,Sceptrulophora,Farreidae,Farrea
Bolosominae,171836,Animalia,Porifera,Hexactinellida,Hexasterophora,Lyssacinosida,Euplectellidae,Bolosominae
Euretidae,131688,Animalia,Porifera,Hexactinellida,Hexasterophora,Sceptrulophora,Euretidae,
Corbitellinae,171848,Animalia,Porifera,Hexactinellida,Hexasterophora,Lyssacinosida,Euplectellidae,Corbitellinae
Hexactinosida,171628,Animalia,Porifera,Hexactinellida,Hexasterophora,Hexactinosida,,
Amphidiscosida,160632,Animalia,Porifera,Hexactinellida,Amphidiscophora,Amphidiscosida,,
Amphidiscophora,131607,Animalia,Porifera,Hexactinellida,Amphidiscophora,,,
Heteroscleromorpha,607950,Animalia,Porifera,Demospongiae,Heteroscleromorpha,,,
Astrangia solitaria,287125,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Rhizangiidae,Astrangia
Coelosphaeridae,131650,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Poecilosclerida,Coelosphaeridae,
Hymeniacidon assimilis,132643,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Suberitida,Halichondriidae,Hymeniacidon
Homaxinella amphispicula,766264,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Suberitida,Suberitidae,Homaxinella
Suberites ficus,134285,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Suberitida,Suberitidae,Suberites
Esperiopsis flagrum,233110,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Poecilosclerida,Esperiopsidae,Esperiopsis
Isodictya rigida,168470,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Poecilosclerida,Isodictyidae,Isodictya
Phakellia dalli,132507,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Axinellida,Axinellidae,Phakellia
Crella brunnea,133874,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Poecilosclerida,Myxillidae,Myxilla
Isodictya palmata,133247,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Poecilosclerida,Isodictyidae,Isodictya
Amphilectus digitatus,225695,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Poecilosclerida,Esperiopsidae,Amphilectus
Thorectidae,131627,Animalia,Porifera,Demospongiae,Keratosa,Dictyoceratida,Thorectidae,
Polymastia pachymastia,170652,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Polymastiida,Polymastiidae,Polymastia
Demospongiae,164811,Animalia,Porifera,Demospongiae,,,,
Suberites domuncula,134282,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Suberitida,Suberitidae,Suberites
Geodiidae,131664,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Tetractinellida,Astrophorina,Geodiidae
Polymastia fluegeli,195929,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Polymastiida,Polymastiidae,Polymastia
Ancorinidae,131662,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Tetractinellida,Astrophorina,Ancorinidae
Pachastrellidae,131665,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Tetractinellida,Astrophorina,Pachastrellidae
Weberella bursa,134232,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Polymastiida,Polymastiidae,Weberella
Tentorium semisuberites,134224,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Polymastiida,Polymastiidae,Tentorium
Amphilectus lobatus,168344,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Poecilosclerida,Esperiopsidae,Amphilectus
Pseudosuberites montiniger,134257,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Suberitida,Suberitidae,Pseudosuberites
Megaciella anisochela,233105,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Poecilosclerida,Acarnidae,Megaciella
Polymastia boletiformis,134194,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Polymastiida,Polymastiidae,Polymastia
Stelodoryx oxeata,233108,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Poecilosclerida,Myxillidae,Stelodoryx
Monanchora laminachela,233107,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Poecilosclerida,Crambeidae,Monanchora
Euchelipluma elongata,233109,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Poecilosclerida,Cladorhizidae,Euchelipluma
Latrunculia velera,233125,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Poecilosclerida,Latrunculiidae,Latrunculia
Cladorhiza corona,195927,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Poecilosclerida,Cladorhizidae,Cladorhiza
Discorhabdella urizae,169011,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Poecilosclerida,Crambeidae,Discorhabdella
Semisuberites cribrosa,168379,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Poecilosclerida,Esperiopsidae,Semisuberites
Stylocordyla borealis,134240,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Suberitida,Stylocordylidae,Stylocordyla
Cornulum clathriata,167374,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Poecilosclerida,Acarnidae,Cornulum
Monanchora alaskensis,169015,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Poecilosclerida,Crambeidae,Monanchora
Vulcanellidae,597265,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Tetractinellida,Astrophorina,Vulcanellidae
Cladorhiza pteron,255099,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Poecilosclerida,Cladorhizidae,Cladorhiza
Phorbas paucistylifer,169346,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Poecilosclerida,Hymedesmiidae,Phorbas
Poecilosclerida,131599,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Poecilosclerida,,
Haplosclerida,131598,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Haplosclerida,,
Crambeidae,131651,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Poecilosclerida,Crambeidae,
Tetractinellida,597812,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Tetractinellida,,
Esperiopsidae,168337,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Poecilosclerida,Esperiopsidae,
Microcionidae,131641,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Poecilosclerida,Microcionidae,
Aaptos kanuux,370514,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Suberitida,Suberitidae,Aaptos
Desmacellidae,131645,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Desmacellida,Desmacellidae,
Cladorhizidae,131644,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Poecilosclerida,Cladorhizidae,
Polymastiidae,131673,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Polymastiida,Polymastiidae,
Xestospongia edapha,196370,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Haplosclerida,Petrosiidae,Xestospongia
Xestospongia diprosopia,166886,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Haplosclerida,Petrosiidae,Xestospongia
Guitarra abbotti,168399,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Poecilosclerida,Guitarridae,Guitarra
Hymeniacidon sinapium,165916,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Suberitida,Halichondriidae,Hymeniacidon
Iophon nigricans,132971,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Poecilosclerida,Acarnidae,Iophon
Melonanchora globogilva,225433,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Poecilosclerida,Myxillidae,Melonanchora
Topsentia fernaldi,165948,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Suberitida,Halichondriidae,Topsentia
Monaxonida,815806,Animalia,Porifera,Demospongiae,Monaxonida,,,
Acarnus erithacus,167343,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Poecilosclerida,Acarnidae,Acarnus
Aplysilla polyraphis,164864,Animalia,Porifera,Demospongiae,Keratosa,Dendroceratida,Darwinellidae,Aplysilla
Neopetrosia vanilla,166819,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Haplosclerida,Petrosiidae,Neopetrosia
Niphates lunisimilis,166779,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Haplosclerida,Niphatidae,Niphates
Monanchora pulchra,169022,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Poecilosclerida,Crambeidae,Monanchora
Crellidae,131652,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Poecilosclerida,Crellidae,
Halichondriidae,131633,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Suberitida,Halichondriidae,
Mycalidae,131649,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Poecilosclerida,Mycalidae,
Rhizaxinella gadus,170824,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Suberitida,Suberitidae,Rhizaxinella
Tethya californiana,170942,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Tethyida,Tethyidae,Tethya
Chalinidae,131636,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Haplosclerida,Chalinidae,
Desmacididae,131654,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Poecilosclerida,Desmacididae,
Myxillidae,131658,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Poecilosclerida,Myxillidae,
Iophon ostiamagna,234212,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Poecilosclerida,Acarnidae,Iophon
Phakellia lamelligera,165586,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Axinellida,Axinellidae,Phakellia
Keratosa,366651,Animalia,Porifera,Demospongiae,Keratosa,,,
Lophelia pertusa,135161,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Lophelia
Oculina virgosa,287103,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Oculinidae,Oculina
Deltocyathus calcar,286791,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Deltocyathidae,Deltocyathus
Desmophyllum dianthus,135159,Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Caryophylliidae,Desmophyllum
Antipathes dendrochristos,283893,Animalia,Cnidaria,Anthozoa,Hexacorallia,Antipatharia,Antipathidae,Antipathes
Guancha blanca,132283,Animalia,Porifera,Calcarea,Calcinea,Clathrinida,Clathrinidae,Guancha
Calcarea,559,Animalia,Porifera,Calcarea,,,,
Leucosolenida,131591,Animalia,Porifera,Calcarea,Calcaronea,Leucosolenida,,
Leucilla nuttingi,164219,Animalia,Porifera,Calcarea,Calcaronea,Leucosolenida,Amphoriscidae,Leucilla
Leucandra poculiformis,164364,Animalia,Porifera,Calcarea,Calcaronea,Leucosolenida,Grantiidae,Leucandra
Leucandra heathi,164324,Animalia,Porifera,Calcarea,Calcaronea,Leucosolenida,Grantiidae,Leucandra
Leucandra losangelensis,164341,Animalia,Porifera,Calcarea,Calcaronea,Leucosolenida,Grantiidae,Leucandra
Sycon escanabense,164576,Animalia,Porifera,Calcarea,Calcaronea,Leucosolenida,Sycettidae,Sycon
Paragorgiidae,125281,Animalia,Cnidaria,Anthozoa,Octocorallia,Alcyonacea,Scleraxonia,Paragorgiidae
Iophon cheliferum,167394,Animalia,Porifera,Demospongiae,Heteroscleromorpha,Poecilosclerida,Acarnidae,Iophon
Dendropathes bacotaylorae,289796,Animalia,Cnidaria,Anthozoa,Hexacorallia,Antipatharia,Schizopathidae,Dendropathes
Bathypathes conferta,589657,Animalia,Cnidaria,Anthozoa,Hexacorallia,Antipatharia,Schizopathidae,Bathypathes
Antipathidae,103301,Animalia,Cnidaria,Anthozoa,Hexacorallia,Antipatharia,Antipathidae,
Antipatharia,22549,Animalia,Cnidaria,Anthozoa,Hexacorallia,Antipatharia,,
Leiopathes annosa,888633,Animalia,Cnidaria,Anthozoa,Hexacorallia,Antipatharia,Leiopathidae,Leiopathes
Antipathes galapagensis,283898,Animalia,Cnidaria,Anthozoa,Hexacorallia,Antipatharia,Antipathidae,Antipathes
Lillipathes lillei,290291,Animalia,Cnidaria,Anthozoa,Hexacorallia,Antipatharia,Schizopathidae,Lillipathes
Stauropathes staurocrada,291113,Animalia,Cnidaria,Anthozoa,Hexacorallia,Antipatharia,Schizopathidae,Stauropathes
Bathypathes alternata,103319,Animalia,Cnidaria,Anthozoa,Hexacorallia,Antipatharia,Schizopathidae,Bathypathes
Bathypathes patula,103323,Animalia,Cnidaria,Anthozoa,Hexacorallia,Antipatharia,Schizopathidae,Bathypathes
Dendropathes intermedia,589903,Animalia,Cnidaria,Anthozoa,Hexacorallia,Antipatharia,Schizopathidae,Dendropathes
Stauropathes arctica,291111,Animalia,Cnidaria,Anthozoa,Hexacorallia,Antipatharia,Schizopathidae,Stauropathes
Leiopathes acanthophora,283949,Animalia,Cnidaria,Anthozoa,Hexacorallia,Antipatharia,Leiopathidae,Leiopathes
Myriopathes ulex,290441,Animalia,Cnidaria,Anthozoa,Hexacorallia,Antipatharia,Myriopathidae,Myriopathes
Myriopathes antrocrada,290432,Animalia,Cnidaria,Anthozoa,Hexacorallia,Antipatharia,Myriopathidae,Myriopathes
Myriopathidae,266963,Animalia,Cnidaria,Anthozoa,Hexacorallia,Antipatharia,Myriopathidae,
Stauropathes punctata,291112,Animalia,Cnidaria,Anthozoa,Hexacorallia,Antipatharia,Schizopathidae,Stauropathes
Taxipathes recta,291188,Animalia,Cnidaria,Anthozoa,Hexacorallia,Antipatharia,Schizopathidae,Taxipathes
Pteropathes fragilis,290943,Animalia,Cnidaria,Anthozoa,Hexacorallia,Antipatharia,Antipathidae,Pteropathes
Schizopathes amplispina,283957,Animalia,Cnidaria,Anthozoa,Hexacorallia,Antipatharia,Schizopathidae,Schizopathes
Parantipathes helicosticha,283952,Animalia,Cnidaria,Anthozoa,Hexacorallia,Antipatharia,Schizopathidae,Parantipathes
Schizopathes crassa,103329,Animalia,Cnidaria,Anthozoa,Hexacorallia,Antipatharia,Schizopathidae,Schizopathes
Antipathes atlantica,283882,Animalia,Cnidaria,Anthozoa,Hexacorallia,Antipatharia,Antipathidae,Antipathes
Parantipathes hirondelle,472932,Animalia,Cnidaria,Anthozoa,Hexacorallia,Antipatharia,Schizopathidae,Parantipathes
Antipathes furcata,103312,Animalia,Cnidaria,Anthozoa,Hexacorallia,Antipatharia,Antipathidae,Antipathes
Tanacetipathes tanacetum,291180,Animalia,Cnidaria,Anthozoa,Hexacorallia,Antipatharia,Myriopathidae,Tanacetipathes
Tanacetipathes thamnea,291182,Animalia,Cnidaria,Anthozoa,Hexacorallia,Antipatharia,Myriopathidae,Tanacetipathes
Stylopathes adinocrada,291149,Animalia,Cnidaria,Anthozoa,Hexacorallia,Antipatharia,Stylopathidae,Stylopathes
Plumapathes fernandezi,290830,Animalia,Cnidaria,Anthozoa,Hexacorallia,Antipatharia,Myriopathidae,Plumapathes
Plumapathes pennacea,290831,Animalia,Cnidaria,Anthozoa,Hexacorallia,Antipatharia,Myriopathidae,Plumapathes
Tanacetipathes hirta,291175,Animalia,Cnidaria,Anthozoa,Hexacorallia,Antipatharia,Myriopathidae,Tanacetipathes
Stylopathes tenuispina,589751,Animalia,Cnidaria,Anthozoa,Hexacorallia,Antipatharia,Stylopathidae,Stylopathes
Schizopathidae,266964,Animalia,Cnidaria,Anthozoa,Hexacorallia,Antipatharia,Schizopathidae,
Tanacetipathes squamosa,291179,Animalia,Cnidaria,Anthozoa,Hexacorallia,Antipatharia,Myriopathidae,Tanacetipathes
Tanacetipathes spinescens,291178,Animalia,Cnidaria,Anthozoa,Hexacorallia,Antipatharia,Myriopathidae,Tanacetipathes
Umbellapathes helioanthes,291268,Animalia,Cnidaria,Anthozoa,Hexacorallia,Antipatharia,Schizopathidae,Umbellapathes
Myriopathes japonica,290434,Animalia,Cnidaria,Anthozoa,Hexacorallia,Antipatharia,Myriopathidae,Myriopathes
Bathypathes bifida,283943,Animalia,Cnidaria,Anthozoa,Hexacorallia,Antipatharia,Schizopathidae,Bathypathes
Bathypathes bayeri,283942,Animalia,Cnidaria,Anthozoa,Hexacorallia,Antipatharia,Schizopathidae,Bathypathes
Antipathes densa,283894,Animalia,Cnidaria,Anthozoa,Hexacorallia,Antipatharia,Antipathidae,Antipathes
Antipathes chamaemorus,283886,Animalia,Cnidaria,Anthozoa,Hexacorallia,Antipatharia,Antipathidae,Antipathes
Lillipathes ritamariae,722946,Animalia,Cnidaria,Anthozoa,Hexacorallia,Antipatharia,Schizopathidae,Lillipathes
Antipathes minor,283912,Animalia,Cnidaria,Anthozoa,Hexacorallia,Antipatharia,Antipathidae,Antipathes
Leiopathes valdiviae,589775,Animalia,Cnidaria,Anthozoa,Hexacorallia,Antipatharia,Leiopathidae,Leiopathes
Antipathes pauroclema,283914,Animalia,Cnidaria,Anthozoa,Hexacorallia,Antipatharia,Antipathidae,Antipathes
Antipathes grandis,283903,Animalia,Cnidaria,Anthozoa,Hexacorallia,Antipatharia,Antipathidae,Antipathes
Antipathella wollastoni,289448,Animalia,Cnidaria,Anthozoa,Hexacorallia,Antipatharia,Myriopathidae,Antipathella
Antipathes contorta,283889,Animalia,Cnidaria,Anthozoa,Hexacorallia,Antipatharia,Antipathidae,Antipathes
Antipathes assimilis,283881,Animalia,Cnidaria,Anthozoa,Hexacorallia,Antipatharia,Antipathidae,Antipathes
Antipathes flabellum,283896,Animalia,Cnidaria,Anthozoa,Hexacorallia,Antipatharia,Antipathidae,Antipathes
Antipathes plana,283915,Animalia,Cnidaria,Anthozoa,Hexacorallia,Antipatharia,Antipathidae,Antipathes
Antipathes dichotoma,103309,Animalia,Cnidaria,Anthozoa,Hexacorallia,Antipatharia,Antipathidae,Antipathes
Antipathes sarothrum,283923,Animalia,Cnidaria,Anthozoa,Hexacorallia,Antipatharia,Antipathidae,Antipathes
Antipathes sibogae,283925,Animalia,Cnidaria,Anthozoa,Hexacorallia,Antipatharia,Antipathidae,Antipathes
Antipathes lenta,283909,Animalia,Cnidaria,Anthozoa,Hexacorallia,Antipatharia,Antipathidae,Antipathes
Aphanipathidae,266960,Animalia,Cnidaria,Anthozoa,Hexacorallia,Antipatharia,Aphanipathidae,
Antipathes speciosa,283928,Animalia,Cnidaria,Anthozoa,Hexacorallia,Antipatharia,Antipathidae,Antipathes
Dendrobathypathes fragilis,289788,Animalia,Cnidaria,Anthozoa,Hexacorallia,Antipatharia,Schizopathidae,Dendrobathypathes
Dendrobathypathes grandis,289789,Animalia,Cnidaria,Anthozoa,Hexacorallia,Antipatharia,Schizopathidae,Dendrobathypathes
Cupressopathes abies,289759,Animalia,Cnidaria,Anthozoa,Hexacorallia,Antipatharia,Myriopathidae,Cupressopathes
Dendrobathypathes isocrada,289790,Animalia,Cnidaria,Anthozoa,Hexacorallia,Antipatharia,Schizopathidae,Dendrobathypathes
Leiopathes bullosa,283950,Animalia,Cnidaria,Anthozoa,Hexacorallia,Antipatharia,Leiopathidae,Leiopathes
Antipathes griggi,689198,Animalia,Cnidaria,Anthozoa,Hexacorallia,Antipatharia,Antipathidae,Antipathes
Umbellapathes bipinnata,291267,Animalia,Cnidaria,Anthozoa,Hexacorallia,Antipatharia,Schizopathidae,Umbellapathes
Schizopathes affinis,283956,Animalia,Cnidaria,Anthozoa,Hexacorallia,Antipatharia,Schizopathidae,Schizopathes
Parantipathes tetrasticha,283954,Animalia,Cnidaria,Anthozoa,Hexacorallia,Antipatharia,Schizopathidae,Parantipathes
Stylopathes litocrada,291152,Animalia,Cnidaria,Anthozoa,Hexacorallia,Antipatharia,Stylopathidae,Stylopathes
Allopathes desbonni,289391,Animalia,Cnidaria,Anthozoa,Hexacorallia,Antipatharia,Antipathidae,Allopathes
Antipathes caribbeana,283884,Animalia,Cnidaria,Anthozoa,Hexacorallia,Antipatharia,Antipathidae,Antipathes
Tanacetipathes barbadensis,291173,Animalia,Cnidaria,Anthozoa,Hexacorallia,Antipatharia,Myriopathidae,Tanacetipathes
